x,y
769,959
770,947
771,922
772,900
773,968
774,983
775,930
776,912
777,918
778,957
779,1016
780,928
781,909
782,940
783,893
784,941
785,971
786,914
787,938
788,929
789,917
790,958
791,921
792,979
793,868
794,1012
795,946
796,1009
797,959
798,990
799,981
800,960
801,962
802,930
803,982
804,988
805,986
806,995
807,1004
808,993
809,1046
810,947
811,1016
812,975
813,1012
814,1032
815,1020
816,988
817,1039
818,1056
819,998
820,989
821,1069
822,975
823,1001
824,1088
825,1008
826,965
827,994
828,1026
829,1035
830,1042
831,1035
832,1034
833,1061
834,1038
835,1037
836,1063
837,1005
838,953
839,1022
840,998
841,1035
842,999
843,1006
844,1040
845,1040
846,1070
847,1039
848,1054
849,1020
850,1095
851,1129
852,1048
853,1112
854,1083
855,1127
856,1020
857,1095
858,1067
859,1020
860,1059
861,1088
862,1116
863,1057
864,1193
865,1120
866,1067
867,1092
868,1074
869,1075
870,1044
871,1123
872,1210
873,1077
874,1094
875,1182
876,1094
877,1151
878,1130
879,1200
880,1118
881,1129
882,1150
883,1130
884,1096
885,1167
886,1146
887,1215
888,1113
889,1128
890,1138
891,1161
892,1187
893,1173
894,1126
895,1144
896,1163
897,1168
898,1124
899,1154
900,1170
901,1139
902,1109
903,1171
904,1172
905,1187
906,1199
907,1217
908,1185
909,1201
910,1186
911,1233
912,1134
913,1157
914,1153
915,1161
916,1198
917,1215
918,1233
919,1250
920,1205
921,1226
922,1226
923,1212
924,1187
925,1209
926,1208
927,1229
928,1218
929,1238
930,1222
931,1257
932,1255
933,1210
934,1270
935,1364
936,1271
937,1266
938,1236
939,1359
940,1237
941,1298
942,1281
943,1319
944,1325
945,1320
946,1311
947,1255
948,1246
949,1244
950,1289
951,1302
952,1255
953,1257
954,1286
955,1323
956,1334
957,1332
958,1268
959,1300
960,1287
961,1245
962,1240
963,1233
964,1278
965,1249
966,1295
967,1301
968,1311
969,1310
970,1311
971,1384
972,1340
973,1329
974,1360
975,1315
976,1344
977,1340
978,1301
979,1341
980,1361
981,1366
982,1381
983,1368
984,1351
985,1349
986,1362
987,1344
988,1322
989,1364
990,1312
991,1385
992,1464
993,1387
994,1374
995,1405
996,1413
997,1365
998,1351
999,1379
1000,1392
1001,1422
1002,1409
1003,1392
1004,1394
1005,1351
1006,1318
1007,1354
1008,1421
1009,1363
1010,1375
1011,1432
1012,1363
1013,1429
1014,1411
1015,1302
1016,1304
1017,1294
1018,1389
1019,1379
1020,1311
1021,1351
1022,1372
1023,1401
1024,1441
1025,1416
1026,1386
1027,1429
1028,1420
1029,1423
1030,1450
1031,1388
1032,1469
1033,1434
1034,1407
1035,1440
1036,1503
1037,1420
1038,1400
1039,1391
1040,1428
1041,1427
1042,1436
1043,1401
1044,1431
1045,1408
1046,1484
1047,1398
1048,1460
1049,1489
1050,1515
1051,1492
1052,1453
1053,1491
1054,1525
1055,1515
1056,1520
1057,1581
1058,1568
1059,1614
1060,1513
1061,1548
1062,1587
1063,1610
1064,1530
1065,1607
1066,1657
1067,1532
1068,1497
1069,1494
1070,1609
1071,1504
1072,1538
1073,1641
1074,1564
1075,1626
1076,1621
1077,1551
1078,1592
1079,1615
1080,1523
1081,1574
1082,1554
1083,1573
1084,1596
1085,1618
1086,1642
1087,1698
1088,1659
1089,1673
1090,1635
1091,1608
1092,1648
1093,1676
1094,1653
1095,1665
1096,1696
1097,1635
1098,1620
1099,1706
1100,1615
1101,1649
1102,1533
1103,1684
1104,1675
1105,1628
1106,1657
1107,1616
1108,1655
1109,1585
1110,1679
1111,1709
1112,1666
1113,1631
1114,1702
1115,1634
1116,1657
1117,1675
1118,1764
1119,1716
1120,1712
1121,1713
1122,1823
1123,1671
1124,1653
1125,1669
1126,1650
1127,1672
1128,1744
1129,1774
1130,1701
1131,1672
1132,1661
1133,1680
1134,1703
1135,1638
1136,1629
1137,1633
1138,1694
1139,1755
1140,1811
1141,1640
1142,1665
1143,1730
1144,1736
1145,1769
1146,1681
1147,1658
1148,1667
1149,1642
1150,1668
1151,1681
1152,1625
1153,1718
1154,1741
1155,1737
1156,1779
1157,1732
1158,1722
1159,1762
1160,1716
1161,1704
1162,1646
1163,1724
1164,1722
1165,1602
1166,1660
1167,1668
1168,1695
1169,1647
1170,1615
1171,1618
1172,1705
1173,1721
1174,1696
1175,1586
1176,1691
1177,1664
1178,1685
1179,1647
1180,1721
1181,1707
1182,1660
1183,1666
1184,1732
1185,1705
1186,1664
1187,1613
1188,1680
1189,1774
1190,1754
1191,1668
1192,1618
1193,1696
1194,1575
1195,1721
1196,1688
1197,1788
1198,1658
1199,1610
1200,1603
1201,1617
1202,1544
1203,1587
1204,1660
1205,1651
1206,1676
1207,1662
1208,1602
1209,1631
1210,1625
1211,1602
1212,1607
1213,1527
1214,1557
1215,1610
1216,1583
1217,1661
1218,1620
1219,1675
1220,1583
1221,1628
1222,1563
1223,1543
1224,1513
1225,1495
1226,1518
1227,1559
1228,1625
1229,1595
1230,1566
1231,1501
1232,1525
1233,1553
1234,1624
1235,1584
1236,1575
1237,1513
1238,1545
1239,1470
1240,1489
1241,1507
1242,1528
1243,1507
1244,1443
1245,1487
1246,1510
1247,1508
1248,1468
1249,1548
1250,1523
1251,1556
1252,1567
1253,1521
1254,1480
1255,1503
1256,1523
1257,1450
1258,1417
1259,1519
1260,1479
1261,1495
1262,1429
1263,1475
1264,1484
1265,1465
1266,1454
1267,1486
1268,1474
1269,1502
1270,1471
1271,1450
1272,1473
1273,1482
1274,1481
1275,1464
1276,1411
1277,1467
1278,1402
1279,1437
1280,1465
1281,1452
1282,1426
1283,1468
1284,1454
1285,1445
1286,1409
1287,1503
1288,1434
1289,1514
1290,1458
1291,1402
1292,1440
1293,1489
1294,1419
1295,1548
1296,1515
1297,1525
1298,1416
1299,1407
1300,1364
1301,1419
1302,1439
1303,1487
1304,1444
1305,1470
1306,1460
1307,1417
1308,1433
1309,1396
1310,1487
1311,1368
1312,1467
1313,1372
1314,1336
1315,1354
1316,1456
1317,1421
1318,1365
1319,1454
1320,1308
1321,1415
1322,1431
1323,1460
1324,1442
1325,1419
1326,1342
1327,1386
1328,1395
1329,1443
1330,1416
1331,1363
1332,1380
1333,1363
1334,1338
1335,1377
1336,1400
1337,1408
1338,1422
1339,1433
1340,1392
1341,1422
1342,1389
1343,1385
1344,1410
1345,1409
1346,1396
1347,1359
1348,1381
1349,1370
1350,1518
1351,1426
1352,1363
1353,1461
1354,1382
1355,1432
1356,1414
1357,1388
1358,1373
1359,1370
1360,1353
1361,1365
1362,1331
1363,1389
1364,1396
1365,1330
1366,1369
1367,1331
1368,1405
1369,1410
1370,1363
1371,1361
1372,1319
1373,1393
1374,1306
1375,1317
1376,1368
1377,1322
1378,1286
1379,1333
1380,1388
1381,1362
1382,1382
1383,1317
1384,1337
1385,1282
1386,1335
1387,1279
1388,1394
1389,1361
1390,1352
1391,1324
1392,1391
1393,1345
1394,1397
1395,1272
1396,1306
1397,1346
1398,1307
1399,1381
1400,1332
1401,1305
1402,1341
1403,1344
1404,1333
1405,1343
1406,1395
1407,1286
1408,1285
1409,1323
1410,1313
1411,1340
1412,1325
1413,1331
1414,1298
1415,1353
1416,1254
1417,1223
1418,1355
1419,1370
1420,1298
1421,1337
1422,1272
1423,1233
1424,1259
1425,1306
1426,1274
1427,1300
1428,1230
1429,1295
1430,1291
1431,1251
1432,1281
1433,1251
1434,1238
1435,1255
1436,1228
1437,1219
1438,1211
1439,1286
